hex,count_good_aircraft,count_bad_aircraft
8408813ffffffff,5,0
8408815ffffffff,11,0
8408817ffffffff,8,0
8408819ffffffff,32,0
840881bffffffff,31,0
840881dffffffff,29,0
8408821ffffffff,40,0
8408823ffffffff,55,0
8408825ffffffff,26,0
8408827ffffffff,20,0
8408829ffffffff,142,0
840882bffffffff,47,0
840882dffffffff,70,0
8408831ffffffff,27,0
8408833ffffffff,22,0
8408835ffffffff,49,0
8408837ffffffff,51,0
8408839ffffffff,15,0
840883bffffffff,14,0
840883dffffffff,43,0
8408841ffffffff,21,0
8408843ffffffff,13,0
8408845ffffffff,57,0
8408847ffffffff,29,0
8408849ffffffff,16,0
840884bffffffff,15,0
840884dffffffff,40,0
8408851ffffffff,11,0
8408853ffffffff,15,0
8408855ffffffff,13,0
8408857ffffffff,25,0
8408859ffffffff,14,0
840885bffffffff,10,0
840885dffffffff,15,0
8408861ffffffff,177,0
8408863ffffffff,224,0
8408865ffffffff,151,2
8408867ffffffff,170,0
8408869ffffffff,93,1
840886bffffffff,95,0
840886dffffffff,94,0
8408881ffffffff,8,0
8408883ffffffff,8,0
8408885ffffffff,9,0
8408887ffffffff,8,0
8408889ffffffff,9,0
840888bffffffff,7,0
840888dffffffff,10,0
8408891ffffffff,4,0
8408893ffffffff,6,0
8408895ffffffff,6,0
8408897ffffffff,4,0
8408899ffffffff,6,0
840889bffffffff,4,0
840889dffffffff,9,0
84088a1ffffffff,13,0
84088a3ffffffff,26,1
84088a5ffffffff,15,0
84088a7ffffffff,21,2
84088a9ffffffff,11,0
84088abffffffff,12,0
84088adffffffff,15,0
84088b1ffffffff,8,0
84088b3ffffffff,7,1
84088b5ffffffff,12,1
84088b7ffffffff,10,0
84088b9ffffffff,9,0
84088bbffffffff,7,0
84088bdffffffff,12,0
84088c1ffffffff,7,0
84088c3ffffffff,6,0
84088c5ffffffff,8,0
84088c7ffffffff,3,0
84088c9ffffffff,27,0
84088cbffffffff,25,0
84088cdffffffff,9,0
84088d1ffffffff,4,0
84088d3ffffffff,5,0
84088d5ffffffff,5,0
84088d7ffffffff,4,0
84088d9ffffffff,23,0
84088dbffffffff,19,0
84088ddffffffff,6,0
84088e1ffffffff,7,0
84088e3ffffffff,16,0
84088e5ffffffff,13,0
84088e7ffffffff,12,0
84088e9ffffffff,6,0
84088ebffffffff,9,0
84088edffffffff,11,0
8408901ffffffff,34,0
8408903ffffffff,42,0
8408905ffffffff,33,0
8408907ffffffff,15,0
8408909ffffffff,54,1
840890bffffffff,49,4
840890dffffffff,35,0
8408911ffffffff,58,1
8408913ffffffff,75,1
8408915ffffffff,37,0
8408917ffffffff,37,3
8408919ffffffff,50,0
840891bffffffff,41,1
840891dffffffff,55,4
8408921ffffffff,68,2
8408923ffffffff,78,5
8408925ffffffff,34,5
8408927ffffffff,21,1
8408929ffffffff,37,0
840892bffffffff,62,1
840892dffffffff,54,2
8408931ffffffff,52,2
8408933ffffffff,32,2
8408935ffffffff,57,4
8408937ffffffff,51,4
8408939ffffffff,65,2
840893bffffffff,60,4
840893dffffffff,74,3
8408941ffffffff,87,8
8408943ffffffff,86,6
8408945ffffffff,79,1
8408947ffffffff,76,0
8408949ffffffff,104,6
840894bffffffff,97,4
840894dffffffff,71,3
8408951ffffffff,71,2
8408953ffffffff,49,0
8408955ffffffff,61,4
8408957ffffffff,46,1
8408959ffffffff,149,2
840895bffffffff,137,0
840895dffffffff,113,2
8408961ffffffff,35,2
8408963ffffffff,33,0
8408965ffffffff,58,1
8408967ffffffff,48,2
8408969ffffffff,61,0
840896bffffffff,37,0
840896dffffffff,70,2
8408981ffffffff,60,5
8408983ffffffff,57,6
8408985ffffffff,44,4
8408987ffffffff,43,2
8408989ffffffff,85,3
840898bffffffff,71,2
840898dffffffff,37,1
8408991ffffffff,76,7
8408993ffffffff,43,4
8408995ffffffff,75,12
8408997ffffffff,140,26
8408999ffffffff,55,2
840899bffffffff,27,5
840899dffffffff,86,6
84089a1ffffffff,47,7
84089a3ffffffff,34,8
84089a5ffffffff,66,24
84089a7ffffffff,25,5
84089a9ffffffff,29,3
84089abffffffff,56,7
84089adffffffff,20,0
84089b1ffffffff,84,9
84089b3ffffffff,43,7
84089b5ffffffff,57,2
84089b7ffffffff,14,1
84089b9ffffffff,76,14
84089bbffffffff,77,19
84089bdffffffff,84,17
84089c1ffffffff,54,1
84089c3ffffffff,54,0
84089c5ffffffff,80,1
84089c7ffffffff,85,1
84089c9ffffffff,30,0
84089cbffffffff,43,0
84089cdffffffff,46,1
84089d1ffffffff,64,1
84089d3ffffffff,27,1
84089d5ffffffff,58,0
84089d7ffffffff,63,1
84089d9ffffffff,52,1
84089dbffffffff,28,0
84089ddffffffff,47,1
84089e1ffffffff,35,7
84089e3ffffffff,38,5
84089e5ffffffff,38,4
84089e7ffffffff,30,3
84089e9ffffffff,15,0
84089ebffffffff,10,0
84089edffffffff,34,7
8408a01ffffffff,10,0
8408a03ffffffff,16,0
8408a05ffffffff,8,0
8408a07ffffffff,11,0
8408a09ffffffff,9,0
8408a0bffffffff,10,0
8408a0dffffffff,8,0
8408a11ffffffff,11,0
8408a13ffffffff,5,0
8408a15ffffffff,7,0
8408a17ffffffff,7,0
8408a19ffffffff,5,0
8408a1bffffffff,9,0
8408a1dffffffff,11,0
8408a21ffffffff,35,0
8408a23ffffffff,13,0
8408a25ffffffff,35,0
8408a27ffffffff,32,0
8408a29ffffffff,42,0
8408a2bffffffff,13,0
8408a2dffffffff,42,0
